site_name,y_diversity,mt_diversity,diversity_ratio,father_son_ratio,mother_daughter_ratio,same_sex_ratio,cross_sex_ratio,male_kinship_ratio,female_kinship_ratio,total_relationships,sex_ratio,male_proportion,female_proportion,y_haplogroup_sharing,mt_haplogroup_sharing,related_male_proportion,related_female_proportion,prob_strongly_patrilineal,prob_weakly_patrilineal,prob_balanced,prob_weakly_matrilineal,prob_strongly_matrilineal
Arbury,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.6666666666666666,0.3333333333333333,1.0,-0.33333333333333326,0.5,0.0,0.6470588235294118,0.35294117647058826,0.0,0.0,0.0
Duxford,0.8333333333333333,0.9824561403508772,0.8482142857142856,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,7.0,1.0,0.3055555555555556,0.3055555555555556,0.0625,-0.0370370370370372,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365
Fenstanton - Cambridge Road,1.0,0.8999999999999999,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,,0.6666666666666666,0.08333333333333333,0.125,-1.0,-0.12499999999999978,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365
Fenstanton - Dairy Crest,0.7000000000000001,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,,1.25,0.20833333333333334,0.16666666666666666,0.125,-0.125,0.0,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0
Knobbs 1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5714285714285714,0.36363636363636365,0.6363636363636364,1.0,-0.125,0.0,0.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,0.0
Knobbs 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7777777777777778,0.21212121212121213,0.2727272727272727,0.0,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182
Knobbs 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182
Northwest Cambridge Site IV RB.2C,0.8333333333333333,1.0000000000000002,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,0.42857142857142855,0.2857142857142857,-0.11111111111111094,-0.16666666666666696,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365
Vicar's Farm,0.8333333333333333,0.978021978021978,0.8520599250936329,0.0,0.25,0.25,0.0,0.25,0.25,4.0,0.3333333333333333,0.13793103448275862,0.41379310344827586,-0.11111111111111094,-0.05325443786982231,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365
