scenario,run_id,total_individuals,mean_y_diversity,mean_mt_diversity,fst_y,fst_mt,prop_father_son,prop_mother_daughter,prop_siblings
patrilocal,patrilocal_20250918_142356_0000,7,0.5,0.5833333333333333,0.0,0.0,0.0,0.14285714285714285,0.0
patrilocal,patrilocal_20250918_142356_0001,5,0.0,0.41666666666666663,0.0,0.04761904761904776,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0002,12,0.1666666666666666,0.7333333333333332,3.7470027081099033e-16,0.0,0.16666666666666666,0.0,0.0
patrilocal,patrilocal_20250918_142356_0003,10,0.5,0.6333333333333333,0.0,0.027586206896552067,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0004,12,0.0,0.46666666666666656,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0006,11,0.5,0.7666666666666666,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0007,14,0.7333333333333332,0.6055555555555556,0.0,0.10269360269360278,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0005,16,0.0,0.4563492063492063,0.0,0.0,0.0,0.0,0.0625
patrilocal,patrilocal_20250918_142356_0009,10,0.5,0.4999999999999999,0.0,0.021739130434782962,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0008,14,0.0,0.6277777777777778,0.0,0.0,0.14285714285714285,0.0,0.0
patrilocal,patrilocal_20250918_142356_0010,14,0.6666666666666666,0.7214285714285714,0.15151515151515155,0.0,0.0,0.0,0.07142857142857142
patrilocal,patrilocal_20250918_142356_0011,11,0.25,0.5952380952380951,0.4285714285714286,0.0,0.09090909090909091,0.0,0.09090909090909091
patrilocal,patrilocal_20250918_142356_0013,12,0.25,0.5333333333333333,3.8857805861880464e-16,0.04864864864864857,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0012,6,1.0,0.75,0.0,0.09090909090909104,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0014,10,0.0,0.23214285714285712,1.0,0.01680672268907543,0.0,0.1,0.0
patrilocal,patrilocal_20250918_142356_0015,14,0.5499999999999999,0.8571428571428572,0.0,0.0,0.07142857142857142,0.0,0.0
patrilocal,patrilocal_20250918_142356_0016,12,0.1999999999999999,0.30357142857142855,7.771561172376093e-16,0.0788177339901479,0.0,0.0,0.16666666666666666
patrilocal,patrilocal_20250918_142356_0018,10,0.5,0.8,0.33333333333333337,0.0,0.0,0.1,0.0
patrilocal,patrilocal_20250918_142356_0017,6,0.0,0.6666666666666666,0.0,0.09090909090909104,0.0,0.16666666666666666,0.0
patrilocal,patrilocal_20250918_142356_0019,11,0.0,0.6428571428571429,0.0,0.09090909090909076,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0020,11,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.09090909090909091
patrilocal,patrilocal_20250918_142356_0021,10,0.0,0.9285714285714286,0.0,0.0,0.1,0.0,0.0
patrilocal,patrilocal_20250918_142356_0022,7,0.0,0.4666666666666667,1.0,0.06666666666666682,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0023,14,0.5,0.3999999999999999,0.0,0.25714285714285745,0.0,0.14285714285714285,0.0
patrilocal,patrilocal_20250918_142356_0024,6,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0026,7,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0025,11,0.0,0.2555555555555556,0.0,0.017094017094017085,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0027,10,0.0,0.7380952380952381,1.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0028,11,0.25,0.1999999999999999,3.8857805861880464e-16,1.2212453270876712e-15,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142356_0029,10,0.8333333333333333,0.3,0.0,0.2285714285714287,0.0,0.1,0.0
matrilocal,matrilocal_20250918_142356_0000,12,0.26666666666666666,0.7222222222222221,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0001,14,0.5333333333333332,0.8388888888888888,0.06666666666666685,0.0,0.07142857142857142,0.0,0.0
matrilocal,matrilocal_20250918_142356_0002,8,0.5,0.5833333333333333,0.0,0.22222222222222232,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0003,10,0.3333333333333333,0.8809523809523809,0.3333333333333332,0.0,0.1,0.0,0.0
matrilocal,matrilocal_20250918_142356_0005,7,0.0,0.8,1.0,0.0,0.14285714285714285,0.0,0.0
matrilocal,matrilocal_20250918_142356_0004,11,0.0,0.6166666666666667,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0006,8,0.0,0.5333333333333332,0.0,0.0,0.0,0.125,0.0
matrilocal,matrilocal_20250918_142356_0007,11,0.0,0.6785714285714285,0.0,0.05405405405405439,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0008,10,0.7,0.8499999999999999,0.0,0.015384615384615611,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0011,10,0.0,0.7,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0010,9,0.3333333333333333,0.380952380952381,0.0,0.17948717948717938,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0009,12,0.8333333333333333,0.6666666666666667,0.0,0.08333333333333341,0.0,0.08333333333333333,0.08333333333333333
matrilocal,matrilocal_20250918_142356_0012,12,0.0,0.5619047619047619,0.0,0.009009009009009068,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0013,10,0.0,0.26190476190476186,0.0,0.4310344827586208,0.0,0.2,0.1
matrilocal,matrilocal_20250918_142356_0014,9,0.0,0.4999999999999999,0.0,0.3333333333333334,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0015,10,0.8333333333333333,0.6333333333333333,0.11111111111111098,0.1454545454545455,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0017,8,0.25,0.7666666666666666,0.0,0.1333333333333333,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0019,5,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0016,14,0.0,0.43888888888888883,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142
matrilocal,matrilocal_20250918_142356_0018,8,0.3333333333333333,0.41666666666666663,0.33333333333333326,0.10256410256410256,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142356_0022,12,0.0,0.7555555555555555,0.0,0.0,0.0,0.0,0.08333333333333333
matrilocal,matrilocal_20250918_142356_0023,11,0.3,0.6547619047619047,0.0,0.0,0.0,0.0,0.0
