scenario,run_id,total_individuals,mean_y_diversity,mean_mt_diversity,fst_y,fst_mt,prop_father_son,prop_mother_daughter,prop_siblings
patrilocal,patrilocal_20250918_142626_0000,7,0.5,0.5833333333333333,0.0,0.0,0.0,0.14285714285714285,0.0
patrilocal,patrilocal_20250918_142626_0001,5,0.0,0.41666666666666663,0.0,0.04761904761904776,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0002,12,0.1666666666666666,0.7333333333333332,3.7470027081099033e-16,0.0,0.16666666666666666,0.0,0.0
patrilocal,patrilocal_20250918_142626_0003,10,0.5,0.6333333333333333,0.0,0.027586206896552067,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0006,11,0.5,0.7666666666666666,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0004,12,0.0,0.46666666666666656,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0007,14,0.7333333333333332,0.6055555555555556,0.0,0.10269360269360278,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0009,10,0.5,0.4999999999999999,0.0,0.021739130434782962,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0005,16,0.0,0.4563492063492063,0.0,0.0,0.0,0.0,0.0625
patrilocal,patrilocal_20250918_142626_0010,14,0.6666666666666666,0.7214285714285714,0.15151515151515155,0.0,0.0,0.0,0.07142857142857142
patrilocal,patrilocal_20250918_142626_0008,14,0.0,0.6277777777777778,0.0,0.0,0.14285714285714285,0.0,0.0
patrilocal,patrilocal_20250918_142626_0016,12,0.1999999999999999,0.30357142857142855,7.771561172376093e-16,0.0788177339901479,0.0,0.0,0.16666666666666666
patrilocal,patrilocal_20250918_142626_0011,11,0.25,0.5952380952380951,0.4285714285714286,0.0,0.09090909090909091,0.0,0.09090909090909091
patrilocal,patrilocal_20250918_142626_0013,12,0.25,0.5333333333333333,3.8857805861880464e-16,0.04864864864864857,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0018,10,0.5,0.8,0.33333333333333337,0.0,0.0,0.1,0.0
patrilocal,patrilocal_20250918_142626_0012,6,1.0,0.75,0.0,0.09090909090909104,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0014,10,0.0,0.23214285714285712,1.0,0.01680672268907543,0.0,0.1,0.0
patrilocal,patrilocal_20250918_142626_0019,11,0.0,0.6428571428571429,0.0,0.09090909090909076,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0017,6,0.0,0.6666666666666666,0.0,0.09090909090909104,0.0,0.16666666666666666,0.0
patrilocal,patrilocal_20250918_142626_0015,14,0.5499999999999999,0.8571428571428572,0.0,0.0,0.07142857142857142,0.0,0.0
patrilocal,patrilocal_20250918_142626_0023,14,0.5,0.3999999999999999,0.0,0.25714285714285745,0.0,0.14285714285714285,0.0
patrilocal,patrilocal_20250918_142626_0020,11,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.09090909090909091
patrilocal,patrilocal_20250918_142626_0021,10,0.0,0.9285714285714286,0.0,0.0,0.1,0.0,0.0
patrilocal,patrilocal_20250918_142626_0022,7,0.0,0.4666666666666667,1.0,0.06666666666666682,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0024,6,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0026,7,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0025,11,0.0,0.2555555555555556,0.0,0.017094017094017085,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0027,10,0.0,0.7380952380952381,1.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0029,10,0.8333333333333333,0.3,0.0,0.2285714285714287,0.0,0.1,0.0
patrilocal,patrilocal_20250918_142626_0028,11,0.25,0.1999999999999999,3.8857805861880464e-16,1.2212453270876712e-15,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0033,10,0.3333333333333333,0.8,0.3333333333333332,0.0,0.1,0.0,0.0
patrilocal,patrilocal_20250918_142626_0035,7,0.25,0.8,0.0,0.0,0.14285714285714285,0.0,0.0
patrilocal,patrilocal_20250918_142626_0032,8,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0037,11,0.0,0.7,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0031,14,0.6333333333333333,0.7444444444444445,0.0,0.0031298904538341046,0.07142857142857142,0.0,0.0
patrilocal,patrilocal_20250918_142626_0034,11,0.0,0.6,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0030,12,0.3333333333333333,0.7833333333333332,0.1666666666666667,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0038,10,0.7,0.8499999999999999,0.0,0.015384615384615611,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0036,8,0.0,0.26190476190476186,0.0,0.012820512820512896,0.0,0.125,0.0
patrilocal,patrilocal_20250918_142626_0040,9,0.5,0.6499999999999999,0.0,0.07692307692307711,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0041,10,0.0,0.33928571428571425,0.0,0.15763546798029554,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0042,12,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0043,10,0.0,0.3333333333333333,0.0,0.27586206896551724,0.0,0.2,0.1
patrilocal,patrilocal_20250918_142626_0039,12,0.25,0.7916666666666666,0.33333333333333326,0.0,0.0,0.08333333333333333,0.08333333333333333
patrilocal,patrilocal_20250918_142626_0044,9,0.0,0.8,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0047,8,0.3333333333333333,0.4047619047619048,0.0,0.05555555555555536,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0049,5,0.0,0.5,0.0,0.14285714285714296,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0045,10,1.0,0.8809523809523809,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0048,8,0.3333333333333333,0.5333333333333332,0.33333333333333326,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0053,11,0.75,0.5833333333333333,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0052,12,0.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.08333333333333333
patrilocal,patrilocal_20250918_142626_0051,7,0.3,0.1666666666666666,0.062499999999999986,0.4000000000000003,0.14285714285714285,0.0,0.0
patrilocal,patrilocal_20250918_142626_0054,9,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0046,14,0.0,0.506060606060606,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142
patrilocal,patrilocal_20250918_142626_0059,5,0.0,0.0,0.0,0.0,0.2,0.0,0.0
patrilocal,patrilocal_20250918_142626_0060,7,0.3,0.95,0.0,0.025000000000000026,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0050,9,0.0,0.6428571428571429,0.0,0.0,0.1111111111111111,0.0,0.0
patrilocal,patrilocal_20250918_142626_0057,8,0.25,0.8,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0058,9,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0061,13,0.25,0.5928571428571427,0.0,0.0,0.0,0.0,0.07692307692307693
patrilocal,patrilocal_20250918_142626_0062,11,0.3,0.5166666666666666,0.062499999999999986,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0055,12,0.0,0.6011904761904762,0.0,0.0,0.0,0.16666666666666666,0.0
patrilocal,patrilocal_20250918_142626_0056,16,0.0,0.6071428571428571,0.0,0.06593406593406603,0.0,0.0,0.4375
patrilocal,patrilocal_20250918_142626_0063,7,0.5,0.75,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0064,6,1.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666
patrilocal,patrilocal_20250918_142626_0066,10,0.0,0.6499999999999999,0.0,0.13970588235294126,0.1,0.0,0.1
patrilocal,patrilocal_20250918_142626_0065,8,0.0,0.26190476190476186,0.0,0.2870370370370371,0.125,0.0,0.0
patrilocal,patrilocal_20250918_142626_0067,9,0.0,0.7333333333333334,0.0,0.02857142857142833,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0070,10,0.8333333333333333,0.75,0.0,0.0,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0072,7,0.0,0.3333333333333333,0.0,0.4000000000000001,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0068,13,0.5,0.7,0.0,0.010909090909090872,0.0,0.0,0.07692307692307693
patrilocal,patrilocal_20250918_142626_0076,8,0.0,0.4047619047619048,0.0,0.05555555555555536,0.0,0.0,0.125
patrilocal,patrilocal_20250918_142626_0074,10,0.0,0.65,0.0,0.0,0.0,0.2,0.1
patrilocal,patrilocal_20250918_142626_0071,10,0.0,0.3,0.0,0.2285714285714287,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142626_0073,9,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.1111111111111111
patrilocal,patrilocal_20250918_142626_0075,12,0.3,0.6047619047619047,0.062499999999999986,0.0629629629629628,0.08333333333333333,0.0,0.0
patrilocal,patrilocal_20250918_142626_0069,12,0.0,0.2777777777777778,0.0,0.05172413793103444,0.0,0.16666666666666666,0.08333333333333333
